medoid	cluster
N026784.fasta	140
AF7607.fasta	141
H15.fasta	142
LY180.fasta	143
C2.fasta	144
S56.fasta	145
AF7709.fasta	146
FORC041.fasta	147
SE11.fasta	148
EA30651.fasta	149
07S4C3a.fasta	150
sheep6.fasta	151
N026802.fasta	152
acoliaa.fasta	153
sheep19.fasta	154
sheep8.fasta	155
acoliag.fasta	156
11C3911.fasta	157
11C3493.fasta	158
0205630.fasta	159
rua2010.fasta	160
256.fasta	161
D5.fasta	162
S51.fasta	163
iacolib.fasta	164
303139.fasta	165
acolieb.fasta	166
EA36711.fasta	167
Santai.fasta	168
ECOR31.fasta	169
acolicl.fasta	170
KTE196.fasta	171
RM12581.fasta	172
004S3C1.fasta	173
EDL933a.fasta	174
K7756.fasta	175
KF1.fasta	176
EC0581.fasta	177
24.fasta	178
K7394.fasta	179
EC06170.fasta	180
TW09308.fasta	181
KTE31.fasta	182
F18ERB4.fasta	183
GTAEF03.fasta	184
GTAEF02.fasta	185
ECD227.fasta	186
GTAEF04.fasta	187
CC35469.fasta	188
B253.fasta	189
108S1C1.fasta	190
EC22.fasta	191
604S3C2.fasta	192
acolieh.fasta	193
200077.fasta	194
acolicq.fasta	195
upec112.fasta	196
5aEPECa.fasta	197
KTE146.fasta	198
675.fasta	199
703S1C2.fasta	200
EC1636.fasta	201
swine50.fasta	202
upec213.fasta	203
KTE66.fasta	204
EC14.fasta	205
B354.fasta	206
KTE144.fasta	207
TA124.fasta	208
50aEPEC.fasta	209
402924.fasta	210
KTE233.fasta	211
swine71.fasta	212
401140.fasta	213
48.fasta	214
16309.fasta	215
BWH32.fasta	216
VL119.fasta	217
B185.fasta	218
iacolid.fasta	219
34352PS.fasta	220
D611311.fasta	221
EA37181.fasta	222
E101.fasta	223
CMHI813.fasta	224
AF85.fasta	225
TW07627.fasta	226
HBird23.fasta	227
E2675.fasta	228
KTE114.fasta	229
E71186a.fasta	230
STEC7v.fasta	231
102928.fasta	232
N111317.fasta	233
N026806.fasta	234
D10.fasta	235
E234869.fasta	236
300075.fasta	237
401675.fasta	238
3003.fasta	239
EA31081.fasta	240
401363.fasta	241
EA40761.fasta	242
SYAU2.fasta	243
0985554.fasta	244
042.fasta	245
sheep25.fasta	246
GN02446.fasta	247
165.fasta	248
0aEPECa.fasta	249
UPEC014.fasta	250
53638.fasta	251
G310b.fasta	252
008MS13.fasta	253
0800022.fasta	254
03S4C2a.fasta	255
KTE100.fasta	256
EA31801.fasta	257
iacolio.fasta	258
turkey5.fasta	259
ICBEC7P.fasta	260
KTE154.fasta	261
C9.fasta	262
103338.fasta	263
12264.fasta	264
acoliej.fasta	265
C10.fasta	266
M3.fasta	267
N029787.fasta	268
H10.fasta	269
H14.fasta	270
E24377A.fasta	271
FAP1a.fasta	272
KTE142.fasta	273
C5.fasta	274
S50.fasta	275
608S3C2.fasta	276
720.fasta	277
SCD2.fasta	278
KTE107.fasta	279
199.fasta	280
458.fasta	281
LV13072.fasta	282
638.fasta	283
EC21.fasta	284
493.fasta	285
acolidc.fasta	286
2785200.fasta	287
MRE600.fasta	288
KTE102.fasta	289
402078.fasta	290
Deng.fasta	291
N026776.fasta	292
N026817.fasta	293
acolibz.fasta	294
711.fasta	295
33561PS.fasta	296
TN1.fasta	297
0600048.fasta	298
TEC1686.fasta	299
I151.fasta	300
OLC975.fasta	301
GN02235.fasta	302
TEC2841.fasta	303
34322PS.fasta	304
4aEPECb.fasta	305
EC03195.fasta	306
Jun51.fasta	307
PH08472.fasta	308
HBird16.fasta	309
AHBird8.fasta	310
CB10113.fasta	311
B1147.fasta	312
605S3C2.fasta	313
C102420.fasta	314
MNCRE22.fasta	315

